1978 1
1984 1.5
1986 5
1987 9
1988 13
1989 18
1990 24
1991 51
1992 80
1993 117
1994 183
1995 280
1996 481
1997 649
1998 993
1999 1267
2000 1779
2001 3016
2002 4195
2003 6043
2004 6681
2005 7108
2006 11865
2007 14387
2008 19484
2009 21871
2010 24129
